"id","code","create_uid/id","create_date","description","write_uid/id","write_date","name"
"__export__.education_subject_1_a77a3a3e","Bn","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Bangla"
"__export__.education_subject_2_4229f736","En","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","English"
"__export__.education_subject_3_c452cbc4","Math","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Mathematics"
"__export__.education_subject_6_cb1de9cd","ict","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","ICT"
"__export__.education_subject_7_d6cb29ba","rel&moraledu","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Rel & Moral Edu"
"__export__.education_subject_8_21befee1","econo","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Economics"
"__export__.education_subject_9_c5811373","hbglbcp","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","HB & Glb CP."
"__export__.education_subject_10_9bfab2f0","geo","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Geography"
"__export__.education_subject_11_af256e4a","genscience","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Gen Science"
"__export__.education_subject_12_9f58f13a","homescience","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Home Science"
"__export__.education_subject_13_dcbb56bd","caredu","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Career Education"
"__export__.education_subject_14_5e9b3106","phyedu","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Phy. Education"
"__export__.education_subject_15_806fbb90","bgi","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Bang & Global Int."
"__export__.education_subject_16_22167690","physics","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Physics "
"__export__.education_subject_17_5c3da78e","chemistry","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Chemistry"
"__export__.education_subject_18_57f0b249","highermath","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","H. Math"
"__export__.education_subject_19_da989b9c","biology","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Biology"
"__export__.education_subject_20_72fcc445","artscraft","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Arts & Crafts"
"__export__.education_subject_21_f1b80b15","busent","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Business Ent."
"__export__.education_subject_22_2a0ef91b","account","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Accounting"
"__export__.education_subject_23_86d82331","financebnk","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Finance & Banking"
"__export__.education_subject_24_bfb4709f","bangdict","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Bangla Dictation"
"__export__.education_subject_25_bc09b565","engdict","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","English Dictation"
"__export__.education_subject_26_15f85f76","genknowledge","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","General Knowledge"
"__export__.education_subject_27_6dcca90d","bangdictspl","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Bangla Dictation & Spelling"
"__export__.education_subject_28_34c3667c","engdictspl","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","English Dictation & Spelling"
"__export__.education_subject_29_4980a736","elescience","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Elementary Science"
"__export__.education_subject_30_9d0c44a9","agricultre","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Agriculture"
"__export__.education_subject_31_d632a64d","w&lifeoriedu","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","W.& Life Ori. Edu."
"__export__.education_subject_32_654ee50d","phyedu&health","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Phy. Edu. & Health"
"__export__.education_subject_33_b20b272e","busient","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Business Entreprene"
"__export__.education_subject_34_d5763a61","civicsgoodgov","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Civics & Good Governance"
"__export__.education_subject_35_e7f4c6eb","scialwork","base.user_root","2019-02-10 20:40:05","","base.user_root","2019-02-10 20:40:05","Social Work"
